title,description,published_date,url,publisher,published_time_ago,State,Department,POSITIVE,NEUTRAL,NEGATIVE,SENTIMENT_ANALYSIS_RESULT
Politics - RNZ,Politics  RNZ,2023-12-11 08:04:13,https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vd3d3LnJuei5jby5uei9uZXdzL3BvbGl0aWNhbNIBAA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,RNZ,"0 days, 6 hours, 48 minutes, 30 seconds ago",D,Prime Minister's Office,97.46,1.27,0.635,NEUTRAL
"Ex-Ilva, unions pressuring the government: ""Take control"" - Ruetir","Ex-Ilva, unions pressuring the government: ""Take control""  Ruetir",2023-12-11 09:13:49,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LnJ1ZXRpci5jb20vMjAyMy8xMi9leC1pbHZhLXVuaW9ucy1wcmVzc3VyaW5nLXRoZS1nb3Zlcm5tZW50LXRha2UtY29udHJvbC_SAQA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,Ruetir,"0 days, 5 hours, 38 minutes, 54 seconds ago",D,Prime Minister's Office,96.27,1.86,0.93,NEUTRAL
